"","Students.Weeks.4.and.5","Students.Weeks.1.and.2","Adults.Weeks.1.and.2","Type.of.School","BHA.Incidence.Weeks.1.and.2.x1000","CODCENTRE","BHA","SR","Enrolled.Students","Students.Weeks.1.2.and.3","TOTAL.Weeks.1.and.2","Exposed","BHA.Incidence.Weeks.1.and.2","TOTAL.Weeks.4.and.5","Students.Week.4","Students.Week.5","Students.Week.3","Students.Weeks.1.to.4","Confined.Students.Week.2","Confined.Students.Week.3","Confined.Students.Week.5","Educational.Levels","Any.Case.in.Weeks.4.and.5","ABS.Incidence.Weeks.1.and.2.CUT","ABS.harvard","ABS.harvard.ALL","Exposure.to.Any.Weeks.1.and.2","Exposure.to.Students.Weeks.1.and.2","Exposure.to.Adults.Weeks.1.and.2"
"1",0,0,0,"Public Primary 3-12",0.490436488474743,"08000013","370","78",508,0,0,FALSE,49.0436488474743,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"2",1,0,0,"Public Primary 3-12",0.914760914760915,"08000049","361","78",446,0,0,FALSE,91.4760914760915,1,0,1,0,0,0,0,16,"EINF2C EPRI",TRUE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"3",0,0,0,"Public Primary 3-12",11.1516191293159,"08000086","217","67",21,0,0,FALSE,1115.16191293159,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(350,1.2e+03]","(350,1.2e+03]",FALSE,FALSE,FALSE
"4",1,0,0,"Public Primary 3-12",1.06164383561644,"08000098","121","78",335,1,0,FALSE,106.164383561644,1,1,0,1,2,0,16,0,"EINF2C EPRI",TRUE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"5",0,0,0,"Public Primary 3-12",1.80475799835931,"08000153","009","78",596,0,0,FALSE,180.475799835931,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"6",0,0,0,"Public Primary 3-12",1.80475799835931,"08000165","009","78",401,0,0,FALSE,180.475799835931,1,0,0,0,0,1,0,0,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"7",0,0,0,"Public Primary 3-12",2.64729075137997,"08000189","010","78",216,0,0,FALSE,264.729075137997,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"8",0,1,0,"Public Primary 3-12",1.43407726091243,"08000244","011","67",397,1,1,TRUE,143.407726091243,0,0,0,0,1,15,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"9",1,2,0,"Public Primary 3-12",2.92533432392273,"08000271","082","67",249,3,2,TRUE,292.533432392273,1,1,0,1,4,23,2,3,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"10",0,0,0,"Public Primary 3-12",0.559103080952241,"08000347","176","78",86,0,0,FALSE,55.9103080952241,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
